
Epoch Number 0 , DiscRealLoss:0.4028403162956238,DiscFakeLoss:3.9247994422912598,GeneratorLoss:75.66864013671875%
Epoch Number 1 , DiscRealLoss:0.4525517225265503,DiscFakeLoss:4.650842189788818,GeneratorLoss:68.66154479980469%
Epoch Number 2 , DiscRealLoss:0.5328472256660461,DiscFakeLoss:5.61965274810791,GeneratorLoss:66.99539947509766%
Epoch Number 3 , DiscRealLoss:0.5278023481369019,DiscFakeLoss:6.668641090393066,GeneratorLoss:75.2711181640625%
Epoch Number 4 , DiscRealLoss:0.5098210573196411,DiscFakeLoss:8.18081283569336,GeneratorLoss:52.997047424316406%
Epoch Number 5 , DiscRealLoss:0.8158813714981079,DiscFakeLoss:8.954419136047363,GeneratorLoss:87.88359832763672%
Epoch Number 6 , DiscRealLoss:0.5041478872299194,DiscFakeLoss:9.227066040039062,GeneratorLoss:57.84431076049805%
Epoch Number 6 , DiscRealLoss:0.6342067122459412,DiscFakeLoss:9.646512985229492,GeneratorLoss:74.6060791015625%
Epoch Number 7 , DiscRealLoss:0.438912034034729,DiscFakeLoss:9.602593421936035,GeneratorLoss:67.10388946533203%
Epoch Number 8 , DiscRealLoss:0.635769248008728,DiscFakeLoss:9.324934959411621,GeneratorLoss:55.350303649902344%
Epoch Number 0 , DiscRealLoss:0.39799344539642334,DiscFakeLoss:3.475654363632202,GeneratorLoss:73.46258544921875%
Epoch Number 1 , DiscRealLoss:0.4866703450679779,DiscFakeLoss:4.718587875366211,GeneratorLoss:66.74250793457031%
Epoch Number 2 , DiscRealLoss:0.5621621608734131,DiscFakeLoss:5.642162799835205,GeneratorLoss:61.52681350708008%
Epoch Number 3 , DiscRealLoss:0.6664889454841614,DiscFakeLoss:6.207798004150391,GeneratorLoss:60.51060104370117%
Epoch Number 4 , DiscRealLoss:0.6313058137893677,DiscFakeLoss:6.720804691314697,GeneratorLoss:75.02251434326172%
Epoch Number 5 , DiscRealLoss:0.6758047342300415,DiscFakeLoss:8.211233139038086,GeneratorLoss:63.170265197753906%
Epoch Number 6 , DiscRealLoss:0.4769490659236908,DiscFakeLoss:8.206352233886719,GeneratorLoss:64.51130676269531%
Epoch Number 7 , DiscRealLoss:0.5441774129867554,DiscFakeLoss:7.442404747009277,GeneratorLoss:66.46562194824219%
Epoch Number 8 , DiscRealLoss:0.6813459992408752,DiscFakeLoss:8.467588424682617,GeneratorLoss:84.11801147460938%
Epoch Number 8 , DiscRealLoss:0.5016055703163147,DiscFakeLoss:8.446430206298828,GeneratorLoss:123.99160766601562%
Epoch Number 9 , DiscRealLoss:0.6371200084686279,DiscFakeLoss:8.402585983276367,GeneratorLoss:117.42424774169922%
Epoch Number 10 , DiscRealLoss:0.9498714208602905,DiscFakeLoss:11.120003700256348,GeneratorLoss:119.75343322753906%
Epoch Number 11 , DiscRealLoss:0.8504425883293152,DiscFakeLoss:10.472631454467773,GeneratorLoss:122.58963012695312%
Epoch Number 12 , DiscRealLoss:0.6035553216934204,DiscFakeLoss:10.10816764831543,GeneratorLoss:115.7613525390625%
Epoch Number 13 , DiscRealLoss:0.9012041091918945,DiscFakeLoss:10.494977951049805,GeneratorLoss:114.36915588378906%
Epoch Number 12 , DiscRealLoss:0.7438504099845886,DiscFakeLoss:9.435527801513672,GeneratorLoss:102.83016204833984%
Epoch Number 13 , DiscRealLoss:0.738461971282959,DiscFakeLoss:10.731334686279297,GeneratorLoss:90.32034301757812%
Epoch Number 14 , DiscRealLoss:0.5542505979537964,DiscFakeLoss:7.870324611663818,GeneratorLoss:99.02758026123047%
Epoch Number 15 , DiscRealLoss:0.6752483248710632,DiscFakeLoss:10.068960189819336,GeneratorLoss:106.67606353759766%
