
Epoch Number 15 , DiscRealLoss:0.45756426453590393,DiscFakeLoss:8.858369827270508,GeneratorLoss:56.07249069213867%
Epoch Number 16 , DiscRealLoss:0.7057985663414001,DiscFakeLoss:10.39809799194336,GeneratorLoss:59.460140228271484%
Epoch Number 17 , DiscRealLoss:0.7749637365341187,DiscFakeLoss:8.738763809204102,GeneratorLoss:77.79228210449219%
Epoch Number 18 , DiscRealLoss:0.6174981594085693,DiscFakeLoss:10.128971099853516,GeneratorLoss:54.40235137939453%
Epoch Number 19 , DiscRealLoss:0.5653461813926697,DiscFakeLoss:8.76606559753418,GeneratorLoss:60.816612243652344%
Epoch Number 20 , DiscRealLoss:0.45102745294570923,DiscFakeLoss:7.223158836364746,GeneratorLoss:60.244537353515625%
Epoch Number 0 , DiscRealLoss:0.3471651077270508,DiscFakeLoss:2.901474714279175,GeneratorLoss:74.06653594970703%
Epoch Number 1 , DiscRealLoss:0.3610535264015198,DiscFakeLoss:3.737342357635498,GeneratorLoss:75.59770202636719%
Epoch Number 2 , DiscRealLoss:0.44057905673980713,DiscFakeLoss:4.285491466522217,GeneratorLoss:68.41770935058594%
Epoch Number 3 , DiscRealLoss:0.4729572534561157,DiscFakeLoss:4.632131099700928,GeneratorLoss:64.03564453125%
Epoch Number 4 , DiscRealLoss:0.5646185278892517,DiscFakeLoss:5.07935905456543,GeneratorLoss:69.75214385986328%
Epoch Number 5 , DiscRealLoss:0.5349599123001099,DiscFakeLoss:5.46370792388916,GeneratorLoss:72.4488525390625%
Epoch Number 6 , DiscRealLoss:0.5890083312988281,DiscFakeLoss:5.89399528503418,GeneratorLoss:60.80418395996094%
Epoch Number 7 , DiscRealLoss:0.6009303331375122,DiscFakeLoss:6.898015022277832,GeneratorLoss:63.05100631713867%
Epoch Number 8 , DiscRealLoss:0.7085897922515869,DiscFakeLoss:7.142316818237305,GeneratorLoss:54.96469497680664%
Epoch Number 9 , DiscRealLoss:0.7580231428146362,DiscFakeLoss:7.629782199859619,GeneratorLoss:71.80406188964844%
Epoch Number 10 , DiscRealLoss:0.7971005439758301,DiscFakeLoss:8.050596237182617,GeneratorLoss:66.73078918457031%
Epoch Number 11 , DiscRealLoss:0.7463312149047852,DiscFakeLoss:8.471366882324219,GeneratorLoss:53.89496994018555%
Epoch Number 12 , DiscRealLoss:0.5275256633758545,DiscFakeLoss:10.595951080322266,GeneratorLoss:67.19169616699219%
